dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_3P,mean,12,0.9315,0.8564999999999999,0.03148809298766756
S2_3P,mean,13,0.9269999999999999,0.8560000000000001,0.03128098463923413
S2_3P,mean,14,0.9225,0.8550000000000001,0.03664014192112253
S2_3P,mean,15,0.9235,0.861,0.04118859065323797
S2_3P,mean,16,0.9275,0.8625,0.041683330001332654
S2_3P,mean,17,0.9305000000000001,0.8734999999999999,0.037363083384538795
S2_3P,mean,18,0.9344999999999999,0.8880000000000001,0.030389142798045523
S2_3P,mean,19,0.9390000000000001,0.8939999999999999,0.02879236009777594
S2_3P,mean,20,0.942,0.8905,0.034907019351414124
S2_3P,mean,21,0.942,0.891,0.032380549717384376
S2_3P,mean,22,0.951,0.8945000000000001,0.03288616730481071
S2_3P,mean,23,0.9535,0.8949999999999999,0.031368774282716255
S2_3P,mean,24,0.9560000000000001,0.9025000000000001,0.03164648479689334
S2_3P,mean,25,0.9595,0.9019999999999999,0.02331308645374956
S2_3P,mean,26,0.9594999999999999,0.9,0.023685438564654025
S2_3P,mean,27,0.961,0.9,0.02552449803620042
S2_3P,mean,28,0.9625,0.8959999999999999,0.02569046515733028
S2_3P,mean,29,0.96,0.897,0.02219234102117213
S2_3P,mean,30,0.958,0.8955,0.02566125484071266
S2_3P,mean,31,0.9585000000000001,0.8960000000000001,0.02305428376679701
S2_3P,mean,32,0.9570000000000001,0.8995000000000001,0.025019992006393644
S2_3P,mean,33,0.9584999999999999,0.898,0.022726636354727027
S2_3P,mean,34,0.9605,0.899,0.023632604596192996
S2_3P,mean,35,0.9644999999999999,0.9045,0.02147091055358385
S2_3P,mean,36,0.9635,0.9045,0.02305428376679701
S2_3P,mean,37,0.9594999999999999,0.9099999999999999,0.027267196408871947
S2_3P,mean,38,0.9594999999999999,0.909,0.029043071462915234
S2_3P,mean,39,0.9595,0.9035,0.02389560629069704
S2_3P,mean,40,0.9595,0.899,0.02331308645374953
S2_3P,mean,41,0.9559999999999998,0.9,0.025377155080899036
S2_3P,mean,42,0.9570000000000001,0.9004999999999999,0.02271563338320109
S2_3P,mean,43,0.9545,0.8975,0.024718414188616564
S2_3P,mean,44,0.9550000000000001,0.8945000000000001,0.02588435821108957
S2_3P,mean,45,0.95,0.8939999999999999,0.030943496893531628
S2_3P,mean,46,0.9460000000000001,0.8895,0.030683871985132557
S2_3P,mean,47,0.943,0.891,0.029300170647967232
S2_3P,mean,48,0.9470000000000001,0.892,0.03151983502494903
S2_3P,mean,49,0.945,0.892,0.03033150177620623
S2_3P,mean,50,0.9450000000000001,0.8859999999999999,0.026832815729997482
S2_3P,mean,51,0.9414999999999999,0.8905,0.029051678092667926
S2_3P,mean,52,0.9425000000000001,0.892,0.027703790354390127
S2_3P,mean,53,0.9385,0.8865000000000001,0.03027375100644121
S2_3P,mean,54,0.9375,0.8859999999999999,0.028591956910991596
S2_3P,mean,55,0.9385,0.8875,0.024779023386727765
S2_3P,mean,56,0.9404999999999999,0.8885,0.031360803561133424
S2_3P,mean,57,0.9410000000000001,0.8934999999999998,0.0274135003237456
S2_3P,mean,58,0.9385,0.8915,0.030438462510448773
S2_3P,mean,59,0.9465,0.8945000000000001,0.028530685235374196
S2_3P,mean,60,0.944,0.8940000000000001,0.028133609793270366
S2_3P,mean,61,0.9375,0.8935000000000001,0.032596012026013206
S2_3P,mean,62,0.931,0.8835000000000001,0.034806608567914225
