model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Bonsai_2_27B_ternary,mean,S1_1P,18,0.8874999999999998,0.8184999999999999,0.032710854467592226
Bonsai_2_27B_ternary,mean,S1_1P,19,0.899,0.8219999999999998,0.035972211497209895
Bonsai_2_27B_ternary,mean,S1_1P,20,0.9045,0.828,0.04026164427839476
Bonsai_2_27B_ternary,mean,S1_1P,21,0.9059999999999999,0.829,0.03796709101313928
Bonsai_2_27B_ternary,mean,S1_1P,22,0.9109999999999999,0.8320000000000001,0.035517601270356046
Bonsai_2_27B_ternary,mean,S1_1P,23,0.9115,0.8230000000000001,0.034481879299133315
Bonsai_2_27B_ternary,mean,S1_1P,24,0.9175000000000001,0.8275,0.03660601043544629
Bonsai_2_27B_ternary,mean,S1_1P,25,0.9174999999999999,0.8300000000000001,0.036776351096866625
Bonsai_2_27B_ternary,mean,S1_1P,26,0.9155,0.8355,0.03858108344772085
Bonsai_2_27B_ternary,mean,S1_1P,27,0.9164999999999999,0.8350000000000002,0.038781438859330664
Bonsai_2_27B_ternary,mean,S1_1P,28,0.9109999999999999,0.8329999999999999,0.03600694377477768
Bonsai_2_27B_ternary,mean,S1_1P,29,0.9075,0.833,0.03940177660969113
Bonsai_2_27B_ternary,mean,S1_1P,30,0.9075,0.833,0.04147288270665544
Bonsai_2_27B_ternary,mean,S1_1P,31,0.9135000000000002,0.8305,0.04199999999999997
Bonsai_2_27B_ternary,mean,S1_1P,32,0.9164999999999999,0.8295,0.044119156836911554
Bonsai_2_27B_ternary,mean,S1_1P,33,0.9165000000000001,0.829,0.04191061917939177
Bonsai_2_27B_ternary,mean,S1_1P,34,0.9105000000000001,0.8324999999999999,0.04121286206998976
Bonsai_2_27B_ternary,mean,S1_1P,35,0.9255000000000001,0.841,0.036034705493454444
Bonsai_2_27B_ternary,mean,S1_1P,36,0.93,0.8455,0.03405877273185278
Bonsai_2_27B_ternary,mean,S1_1P,37,0.9235,0.8445,0.04127953488110058
Bonsai_2_27B_ternary,mean,S1_1P,38,0.931,0.85,0.036796738985948214
Bonsai_2_27B_ternary,mean,S1_1P,39,0.9289999999999999,0.841,0.03498571136907176
Bonsai_2_27B_ternary,mean,S1_1P,40,0.9235,0.8320000000000001,0.034409301068170466
Bonsai_2_27B_ternary,mean,S1_1P,41,0.925,0.8315000000000001,0.03471310991541953
Bonsai_2_27B_ternary,mean,S1_1P,42,0.9245000000000001,0.8325000000000001,0.03414674215792778
Bonsai_2_27B_ternary,mean,S1_1P,43,0.9189999999999999,0.8325000000000001,0.02853068523537421
Bonsai_2_27B_ternary,mean,S1_1P,44,0.914,0.8310000000000001,0.02866182129593301
Bonsai_2_27B_ternary,mean,S1_1P,45,0.9105000000000001,0.8305,0.03241913015489464
Bonsai_2_27B_ternary,mean,S1_1P,46,0.9040000000000001,0.8309999999999998,0.02634387974463899
Bonsai_2_27B_ternary,mean,S1_1P,47,0.899,0.8305,0.024627220712049504
Bonsai_2_27B_ternary,mean,S1_1P,48,0.899,0.828,0.0274135003237456
Bonsai_2_27B_ternary,mean,S1_1P,49,0.905,0.8345,0.032596012026013234
Bonsai_2_27B_ternary,mean,S1_1P,50,0.909,0.829,0.038392707640904945
Bonsai_2_27B_ternary,mean,S1_1P,51,0.9184999999999999,0.8344999999999999,0.03973663297261106
Bonsai_2_27B_ternary,mean,S1_1P,52,0.9179999999999999,0.836,0.04069397989875159
Bonsai_2_27B_ternary,mean,S1_1P,53,0.9259999999999999,0.8350000000000002,0.03983089253330885
Bonsai_2_27B_ternary,mean,S1_1P,54,0.9265000000000001,0.836,0.038457769046058805
Bonsai_2_27B_ternary,mean,S1_1P,55,0.9259999999999999,0.8379999999999999,0.03466266002487404
Bonsai_2_27B_ternary,mean,S1_1P,56,0.93,0.8385,0.03567211796347393
Bonsai_2_27B_ternary,mean,S1_1P,57,0.9275,0.8390000000000001,0.03255764119219937
